cores, grx, 
1, 1.0, 
24, 0.05170886075949367, 
48, 0.028666666666666667, 
72, 0.018824884792626728, 
96, 0.013918228279386711, 
120, 0.011130790190735694, 
144, 0.009544392523364486, 
168, 0.009148936170212766, 
192, 0.008009803921568628, 
216, 0.00785576923076923, 
240, 0.0069829059829059825, 
