cores, oned, clps, span, iota, kokkos, 
1, 7727, 11190, 23269, 7772, 11456, 
11, 701, 1017, 2341, 966, 1311, 
22, 355, 511, 1255, 538, 805, 
33, 242, 343, 839, 405, 631, 
44, 184, 260, 627, 345, 562, 
56, 150, 207, 491, 288, 483, 
67, 128, 175, 421, 264, 472, 
78, 122, 156, 381, 260, 450, 
89, 108, 141, 368, 261, 456, 
100, 95, 127, 385, 263, 479, 
112, 112, 126, 387, 266, 488, 
