cores, icx, 
1, 1.0, 
8, 0.1304116865869854, 
16, 0.07064748201438849, 
24, 0.05168421052631579, 
32, 0.043644444444444444, 
40, 0.03850980392156863, 
48, 0.03545126353790614, 
56, 0.03317567567567568, 
64, 0.031474358974358976, 
72, 0.029757575757575757, 
80, 0.028137535816618913, 
