cores, spr, 
1, 1.0, 
11, 11.028985507246377, 
22, 21.856396866840733, 
33, 32.19615384615385, 
44, 42.27777777777778, 
56, 52.31875, 
67, 60.223021582733814, 
78, 65.3984375, 
89, 71.54700854700855, 
100, 81.27184466019418, 
112, 74.74107142857143, 
