cores, intel, gnu, 
1, 10397, 11451, 
11, 1271, 1291, 
22, 912, 802, 
33, 651, 640, 
44, 657, 560, 
56, 585, 499, 
67, 511, 456, 
78, 515, 470, 
89, 504, 470, 
100, 497, 490, 
112, 351, 499, 
