cores, skx, 
1, 1.0, 
4, 0.2526011560693642, 
9, 0.11409921671018278, 
14, 0.07734513274336284, 
19, 0.06379562043795621, 
24, 0.054625, 
28, 0.051111111111111114, 
33, 0.0488268156424581, 
38, 0.046243386243386246, 
43, 0.046, 
48, 0.04459183673469388, 
