cores, oned, clps, span, iota, kokkos, 
1, 7713, 11241, 23184, 7749, 11444, 
11, 701, 1021, 2438, 968, 1315, 
22, 355, 513, 1267, 548, 800, 
33, 241, 345, 843, 398, 628, 
44, 185, 260, 633, 333, 549, 
56, 150, 206, 496, 67, 482, 
67, 128, 173, 613, 78, 473, 
78, 122, 154, 89, 89, 455, 
89, 109, 139, 384, 100, 453, 
100, 96, 126, 382, 112, 486, 
