cores, intel, gnu, 
1, 1.0, 1.1013753967490623, 
11, 1.0, 1.01573564122738, 
22, 1.0, 0.8793859649122807, 
33, 1.0, 0.9831029185867896, 
44, 1.0, 0.852359208523592, 
56, 1.0, 0.852991452991453, 
67, 1.0, 0.8923679060665362, 
78, 1.0, 0.912621359223301, 
89, 1.0, 0.9325396825396826, 
100, 1.0, 0.9859154929577465, 
112, 1.0, 1.4216524216524216, 
