cores, oned, clps, span, iota, kokkos2d, 
1, 8432, 12228, 25254, 9114, 12467, 
11, 1103, 1327, 2508, 1110, 1407, 
22, 706, 824, 1372, 629, 858, 
33, 536, 614, 914, 471, 663, 
44, 429, 485, 682, 390, 592, 
56, 369, 408, 542, 336, 509, 
67, 354, 387, 453, 314, 483, 
78, 365, 386, 409, 303, 476, 
89, 368, 394, 386, 297, 483, 
100, 377, 405, 394, 308, 514, 
112, 388, 411, 408, 314, 528, 
