cores, grx, 
1, 1.0, 
24, 19.356923076923078, 
48, 34.95, 
72, 53.08860759493671, 
96, 71.89714285714285, 
120, 89.87142857142857, 
144, 104.85, 
168, 109.40869565217392, 
192, 124.57425742574257, 
216, 127.0909090909091, 
240, 142.97727272727272, 
