cores, clx, 
1, 1.0, 
5, 4.9640632486823195, 
11, 10.539165818921669, 
16, 14.349030470914128, 
22, 17.237936772046588, 
28, 19.185185185185187, 
33, 19.733333333333334, 
39, 20.514851485148515, 
44, 21.44927536231884, 
50, 21.902748414376322, 
56, 21.583333333333332, 
