cores, skx, 
1, 1.0, 
4, 3.962588473205258, 
9, 8.767337807606264, 
14, 12.948237885462555, 
19, 15.717914438502675, 
24, 18.2846034214619, 
28, 19.562396006655575, 
33, 20.446956521739132, 
38, 21.65193370165746, 
43, 21.772222222222222, 
48, 22.43702290076336, 
