cores, grace, 
1, 1.0, 
14, 13.111979166666666, 
28, 23.75, 
43, 30.515151515151516, 
57, 33.125, 
72, 32.6948051948052, 
86, 38.43511450381679, 
100, 45.36036036036036, 
115, 51.37755102040816, 
129, 58.54651162790697, 
144, 61.40243902439025, 
