cores, intel, gnu, 
1, 5732, 7732, 
11, 521, 702, 
22, 263, 357, 
33, 177, 241, 
44, 134, 185, 
56, 108, 151, 
67, 93, 129, 
78, 82, 123, 
89, 71, 109, 
100, 66, 96, 
112, 66, 111, 
