cores, intel, gnu, 
1, 25220, 11242, 
11, 2293, 1019, 
22, 1147, 514, 
33, 767, 344, 
44, 575, 260, 
56, 453, 208, 
67, 379, 175, 
78, 326, 155, 
89, 287, 139, 
100, 255, 125, 
112, 229, 123, 
