cores, intel, gnu, 
1, 1.0, 0.4449061980527191, 
11, 1.0, 0.44565691837625493, 
22, 1.0, 0.4476439790575916, 
33, 1.0, 0.45039164490861616, 
44, 1.0, 0.45217391304347826, 
56, 1.0, 0.4557522123893805, 
67, 1.0, 0.4576719576719577, 
78, 1.0, 0.47384615384615386, 
89, 1.0, 0.486013986013986, 
100, 1.0, 0.49411764705882355, 
112, 1.0, 0.5350877192982456, 
